cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
48300,20230101,0.9626,0.9626,0,Wenatchee WA
48424,20230101,0.8682,0.8682,0,West Palm Beach-Boca Raton-Boynton Beach FL
48540,20230101,0.6756,0.6756,0,Wheeling WV-OH
48620,20230101,0.8263,0.8263,0,Wichita KS
48660,20230101,0.8659,0.8659,0,Wichita Falls TX
48700,20230101,0.8517,0.8517,0,Williamsport PA
48864,20230101,1.0426,1.0088,0,Wilmington DE-MD-NJ
48900,20230101,0.9009,0.8855,0,Wilmington NC
49020,20230101,0.8826,0.8826,0,Winchester VA-WV
49180,20230101,0.9408,0.9408,0,Winston-Salem NC
49340,20230101,1.0775,1.0318,0,Worcester MA-CT
49420,20230101,0.9707,0.9707,0,Yakima WA
49500,20230101,0.3025,0.3025,0,Yauco PR
49620,20230101,0.9642,0.9642,0,York-Hanover PA
49660,20230101,0.7577,0.7577,0,Youngstown-Warren-Boardman OH-PA
49700,20230101,1.3997,1.3997,0,Yuba City CA
49740,20230101,1.0474,1.0474,0,Yuma AZ
